model,mae,rmse,r2,smape_pct
hist_gradient_boosting,3.6929494145113315,10.267190079117483,0.9668880874723873,102.58076412602323
hist_gradient_boosting_poisson,3.751927141657908,10.994221981479011,0.9620326693580334,102.01823475268294
hist_gradient_boosting_absolute,4.014347437157831,12.905996281489694,0.9476804339991304,105.11153846215065
linear_regression,4.373083999762217,12.13296156454081,0.9537603322184965,76.43782613069378
ridge,4.380657332447692,12.137692038765582,0.9537242687732403,77.28780394288917
previous_week_168h,5.104227970752811,16.26169782111238,0.9169360011908638,60.55368874778768
previous_hour,5.612555196024099,16.67647107202841,0.9126446776978974,62.241636112900906
zone_hour_average,6.584456708662223,21.664608417973742,0.8525710580093799,97.08788058497896
previous_day_24h,6.755355131665981,23.877750836311684,0.8209114197352733,63.8812644261166
rolling_mean_24h,12.185161431610561,35.502944551828044,0.6040778402799867,99.33648593187453
