fold,model,dimension,value,rows,mean_prediction,positive_prediction_fraction,mae,rmse,r2,smape_pct
fold_1,previous_hour,borough,Bronx,28896,1.2059108527131783,0.5158153377630121,1.0453696013289036,1.6918535675138058,0.08208086161061023,80.93730840535245
fold_1,previous_day_24h,borough,Bronx,28896,1.1995431893687707,0.5133236434108527,1.0574127906976745,1.7195882255817079,0.0517391788313355,81.13008343758811
fold_1,previous_week_168h,borough,Bronx,28896,1.2190268549280177,0.5166112956810631,1.0474114064230344,1.709000018467795,0.06338088520860663,80.23373502230694
fold_1,zone_hour_average,borough,Bronx,28896,1.199630021141649,0.9718992248062015,0.8839921222188665,1.3305527711127485,0.4322683715745316,120.2347528974659
fold_1,rolling_mean_24h,borough,Bronx,28896,1.20078326873385,0.9554263565891473,1.0634718761535622,1.571813902443227,0.20771554790071578,118.61157754521435
fold_1,linear_regression,borough,Bronx,28896,1.6018372565724408,0.7270556478405316,1.1692694778008985,1.73424397672017,0.035506574676065106,99.4566697987115
fold_1,ridge,borough,Bronx,28896,1.634944088722357,0.7411060354374308,1.1838921452363858,1.7480664253142597,0.020070696387590847,100.93296260737736
fold_1,hist_gradient_boosting,borough,Bronx,28896,1.2422679340435347,1.0,0.8926706768949452,1.3019673154972524,0.456400503688007,125.42241684889848
fold_1,hist_gradient_boosting_poisson,borough,Bronx,28896,1.2573951855943575,1.0,0.8536014116535855,1.257765304541496,0.4926845333013804,124.57103394958095
fold_1,hist_gradient_boosting_absolute,borough,Bronx,28896,1.0104472176214758,0.9703765227021041,0.8105269569287241,1.3076257228925758,0.4516652213379977,128.05820352015104
fold_1,previous_hour,borough,Brooklyn,40992,3.647467798594848,0.7073575331772053,2.027078454332553,3.3942784319174777,0.6173520636442088,75.03912794093132
fold_1,previous_day_24h,borough,Brooklyn,40992,3.6573965651834506,0.7080893832943014,2.4449404761904763,4.691193249714518,0.2690778990816869,79.72621097110043
fold_1,previous_week_168h,borough,Brooklyn,40992,3.74756049960968,0.7154810694769711,2.2249951209992194,3.7886732099307734,0.5232631303021469,76.93874315090795
fold_1,zone_hour_average,borough,Brooklyn,40992,3.4810357675111776,0.9897540983606558,2.132813054431907,3.9209103145721276,0.48940299446593316,95.34658438890523
fold_1,rolling_mean_24h,borough,Brooklyn,40992,3.6545687776476705,0.9858752927400468,2.5709467701014828,4.350292547558618,0.37144776786763745,98.74580465672165
fold_1,linear_regression,borough,Brooklyn,40992,3.995651469515418,0.8324063231850117,1.950368050210227,3.060322433989686,0.6889438314045089,82.01946246847756
fold_1,ridge,borough,Brooklyn,40992,4.033716659496345,0.8421887197501952,1.9614389324528365,3.0676718604842885,0.6874480220345652,82.8948667663083
fold_1,hist_gradient_boosting,borough,Brooklyn,40992,3.6819974447340282,1.0,1.7211961283731532,2.762394136393267,0.7465596653195863,92.838079444935
fold_1,hist_gradient_boosting_poisson,borough,Brooklyn,40992,3.712508661182693,1.0,1.669205286683662,2.6810154584014434,0.7612721522926975,92.02930905352171
fold_1,hist_gradient_boosting_absolute,borough,Brooklyn,40992,3.3340202885646706,0.9772150663544106,1.6718457178888908,2.8501271881436283,0.7302056015495094,94.53366481088159
fold_1,previous_hour,borough,Manhattan,46368,62.73365251897861,0.8772644927536232,15.856452726017944,29.639436639025597,0.8834167741706072,42.84811887361245
fold_1,previous_day_24h,borough,Manhattan,46368,62.90221704623878,0.8773076259489303,20.339415113871635,44.70428823746661,0.7347871589715516,47.619628646966085
fold_1,previous_week_168h,borough,Manhattan,46368,63.83531746031746,0.8800897170462388,15.174861973775018,30.153142450745236,0.8793405510845854,40.70826378404754
fold_1,zone_hour_average,borough,Manhattan,46368,65.44557531840141,0.9577294685990339,21.353278907083258,42.219265349085305,0.763452957519446,55.943214055089825
fold_1,rolling_mean_24h,borough,Manhattan,46368,62.83463990970784,0.9554649758454107,38.14292723429951,64.39473560904202,0.4497033012990068,75.2510092005159
fold_1,linear_regression,borough,Manhattan,46368,62.62068697382232,0.9290243271221532,11.7523393931385,21.50880074740572,0.9386056265853648,45.35986007740167
fold_1,ridge,borough,Manhattan,46368,62.561864470081844,0.9316770186335404,11.752807165844008,21.511526229593557,0.9385900664549156,45.89218140470987
fold_1,hist_gradient_boosting,borough,Manhattan,46368,63.87558490843594,0.9997196342305038,9.963929242870572,17.941653761299513,0.9572809957171367,49.42707253245541
fold_1,hist_gradient_boosting_poisson,borough,Manhattan,46368,63.96678503161268,1.0,10.366739889410264,19.30025596204362,0.9505663912452804,49.0709343681043
fold_1,hist_gradient_boosting_absolute,borough,Manhattan,46368,60.99082725988215,0.9965277777777778,11.341877377292466,22.796567851324134,0.9310339882842951,51.13764626133958
fold_1,previous_hour,borough,Queens,46368,6.477311939268461,0.5596532091097308,2.6700094893029678,10.39384145208714,0.8948003151485063,75.97776653117818
fold_1,previous_day_24h,borough,Queens,46368,6.4644151138716355,0.5598257418909592,2.9990726363008973,13.561127519739104,0.8209172054671309,77.66159897621505
fold_1,previous_week_168h,borough,Queens,46368,6.6125992063492065,0.568301414768806,3.049646307798482,15.33261880592794,0.7710740947178158,76.08853488888728
fold_1,zone_hour_average,borough,Queens,46368,6.959628897672375,0.9752415458937198,2.5753972175167825,11.618866274088166,0.8685411678618691,115.7056279829986
fold_1,rolling_mean_24h,borough,Queens,46368,6.465586899010812,0.9601449275362319,4.08528511042098,18.350527564740002,0.6720864430867567,115.52961428118265
fold_1,linear_regression,borough,Queens,46368,6.8028441765335135,0.7669729123533471,2.518100085897245,8.848949866831273,0.9237489668454806,94.82349156423405
fold_1,ridge,borough,Queens,46368,6.825885477787442,0.7788561076604554,2.531852339617795,8.854750105413729,0.9236489732552178,96.11054110800366
fold_1,hist_gradient_boosting,borough,Queens,46368,6.508736609818237,0.9999137336093857,2.089241382295116,7.658183003970781,0.9428897917599002,118.22292468242395
fold_1,hist_gradient_boosting_poisson,borough,Queens,46368,6.519290347762409,1.0,2.1012266853132733,8.151882363522207,0.9352890059798968,118.05090112293966
fold_1,hist_gradient_boosting_absolute,borough,Queens,46368,5.998912643904419,0.974120082815735,2.1720032258954283,9.503260956223032,0.9120557249572272,123.14099170413229
fold_1,previous_hour,borough,Staten Island,13440,0.03169642857142857,0.02924107142857143,0.05677083333333333,0.25689885910514243,-0.7908104334753059,10.50793650793651
fold_1,previous_day_24h,borough,Staten Island,13440,0.03184523809523809,0.029389880952380952,0.056026785714285716,0.25631895123440396,-0.7827346254325762,10.287698412698415
fold_1,previous_week_168h,borough,Staten Island,13440,0.03563988095238095,0.03184523809523809,0.05892857142857143,0.26753949419175654,-0.9422318342764873,10.610119047619047
fold_1,zone_hour_average,borough,Staten Island,13440,0.032499999999999994,0.5354166666666667,0.05723349567099567,0.18735646480327617,0.04750516091069512,106.73841930196419
fold_1,rolling_mean_24h,borough,Staten Island,13440,0.03180803571428571,0.3885416666666667,0.05951760912698413,0.1923171437059825,-0.00360141581012674,78.55317461670859
fold_1,linear_regression,borough,Staten Island,13440,0.5535813594621369,0.5214285714285715,0.5514929726437313,0.9017030115525538,-21.06237718619423,103.58178863696247
fold_1,ridge,borough,Staten Island,13440,0.5779321183351195,0.5434523809523809,0.5751315216715406,0.9290214450972468,-22.419452783604743,107.94917626224371
fold_1,hist_gradient_boosting,borough,Staten Island,13440,0.21162316944705906,1.0,0.226858490809322,0.2664755273480092,-0.9268145871868745,197.58834933807302
fold_1,hist_gradient_boosting_poisson,borough,Staten Island,13440,0.04386691603988709,1.0,0.06925194517335823,0.1871744503873094,0.0493549351336543,198.94757938778167
fold_1,hist_gradient_boosting_absolute,borough,Staten Island,13440,0.0007421975354070509,1.0,0.032293922419430285,0.19383417184804197,-0.019496997341270195,199.95288396601856
fold_1,previous_hour,local_hour,0,7336,19.289258451472193,0.6120501635768811,7.304798255179935,21.518765111139555,0.7967143979984479,68.15048111808575
fold_1,previous_day_24h,local_hour,0,7336,13.745501635768811,0.5344874591057798,8.895992366412214,37.38052395872176,0.3865732659922413,69.88355691548028
fold_1,previous_week_168h,local_hour,0,7336,14.004907306434024,0.5505725190839694,4.491003271537623,15.655184040759615,0.8924059426074291,62.36207104597269
fold_1,zone_hour_average,local_hour,0,7336,14.83907009021513,0.9312977099236641,10.062392187964708,33.72334142223329,0.5007326924294022,116.87955110553516
fold_1,rolling_mean_24h,local_hour,0,7336,19.319145310796074,0.920392584514722,13.168063885859686,40.34229614919435,0.2855149326938562,115.28287757911369
fold_1,linear_regression,local_hour,0,7336,15.058193523618144,0.5725190839694656,4.260130312142416,13.497541502469723,0.9200200233172297,67.02833311625263
fold_1,ridge,local_hour,0,7336,15.054442318253118,0.5805616139585605,4.25581796405163,13.470791808398978,0.9203367209788811,67.63281316168117
fold_1,hist_gradient_boosting,local_hour,0,7336,14.34906289965072,0.9997273718647764,3.285702413863938,9.682261295243517,0.9588447231342782,119.66806379287652
fold_1,hist_gradient_boosting_poisson,local_hour,0,7336,14.40150386008276,1.0,3.3414764649099684,10.56403681862802,0.9510072584522921,117.93574676011586
fold_1,hist_gradient_boosting_absolute,local_hour,0,7336,13.307922349245413,0.9734187568157033,3.784477029251715,15.408371376608166,0.8957717598584383,121.88317281191219
fold_1,previous_hour,local_hour,1,7336,13.718102508178845,0.5338058887677208,5.374591057797165,15.90996683563527,0.8604023928107574,65.97688831047554
fold_1,previous_day_24h,local_hour,1,7336,9.18784078516903,0.4326608505997819,7.185932388222464,37.127154112846895,0.23980895904738142,62.85120064768357
fold_1,previous_week_168h,local_hour,1,7336,9.221237731733915,0.43784078516902947,3.0396673936750274,11.328620831569674,0.9292227787626073,54.87571339855782
fold_1,zone_hour_average,local_hour,1,7336,9.814573213046495,0.9274809160305344,8.494175671656587,33.202497658082436,0.39203170056476067,134.6717551960823
fold_1,rolling_mean_24h,local_hour,1,7336,19.318003680479826,0.9198473282442748,15.656198882224645,45.06595827482901,-0.12004802869282782,139.04006835293816
fold_1,linear_regression,local_hour,1,7336,10.032030177255223,0.4721919302071974,3.058973798087378,10.223998819015563,0.9423524298076508,62.40738152827569
fold_1,ridge,local_hour,1,7336,10.026976816726132,0.48091603053435117,3.055391988760303,10.19843523194411,0.9426403477444664,63.49426300558927
fold_1,hist_gradient_boosting,local_hour,1,7336,9.862527199237745,0.9991821155943293,2.361597995903636,7.460890366502009,0.9693012464636243,135.99666242235398
fold_1,hist_gradient_boosting_poisson,local_hour,1,7336,9.654939690689638,1.0,2.238612867600539,7.855738855420863,0.9659659602748605,134.9282932440474
fold_1,hist_gradient_boosting_absolute,local_hour,1,7336,8.48246701522159,0.9133042529989095,2.6682392020311276,14.425089395974945,0.8852437224980734,127.38911499151841
fold_1,previous_hour,local_hour,2,7336,9.157306434023992,0.4323882224645583,3.40567066521265,12.725169333617826,0.8459738234264788,54.93615161019636
fold_1,previous_day_24h,local_hour,2,7336,6.273718647764449,0.38208833151581245,5.328516902944384,28.95497670725665,0.20253095475631433,58.592545164042974
