fold,model,mae,rmse,r2,smape_pct
fold_1,previous_hour,5.526961786623046,16.216290042728918,0.9106147127763013,62.85051865998569
fold_1,previous_day_24h,6.893459196655762,24.090712894106602,0.802729413058098,65.65668370727818
fold_1,previous_week_168h,5.494019220283533,17.469646554932677,0.896263576719967,62.65074590667736
fold_1,zone_hour_average,6.947849542315192,22.557784896724744,0.8270359144420201,95.2853988892429
fold_1,rolling_mean_24h,11.898832242820793,34.43201332600874,0.5970159395515141,98.69739859189163
fold_1,linear_regression,4.446340542422151,12.049710244439497,0.9506466950675219,80.24469865623604
fold_1,ridge,4.456867455859095,12.053034582689397,0.9506194596057775,81.50334215070285
fold_1,hist_gradient_boosting,3.738869259121618,10.113438485491955,0.9652335211556853,101.43474643218248
fold_1,hist_gradient_boosting_poisson,3.8175615104893086,10.841492530974042,0.9600477554910525,101.0713761402079
fold_1,hist_gradient_boosting_absolute,4.083736213769125,12.76018990530764,0.9446551380137942,104.18832062506947
fold_2,previous_hour,5.715769574553337,16.936171656844532,0.9125394747332827,62.26053098287013
fold_2,previous_day_24h,7.042960763564259,24.959706260272736,0.8100407143801222,64.18093731989973
fold_2,previous_week_168h,5.525715841492608,17.880571572990853,0.9025135215553222,61.71563193167014
fold_2,zone_hour_average,6.672090125576846,22.142034969544106,0.8505084474587173,96.44690128571463
fold_2,rolling_mean_24h,12.430757040263837,36.30095727041208,0.5981927737240539,99.03895386781306
fold_2,linear_regression,4.5251145329602895,12.725582669377747,0.9506216082555433,76.10193516581985
fold_2,ridge,4.53435511705971,12.732461659454923,0.9505682094787227,76.92255182696063
fold_2,hist_gradient_boosting,3.8577817818133737,10.9191750189944,0.9636452433464171,102.1912476410361
fold_2,hist_gradient_boosting_poisson,3.9015890683585557,11.678883688695876,0.9584104468541073,101.41713219838941
fold_2,hist_gradient_boosting_absolute,4.223613311687998,13.965729507160615,0.94052850717681,104.35036609833129
fold_3,previous_hour,5.585930873621713,16.829264114011902,0.9144198738735176,61.65384727952853
fold_3,previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
fold_3,previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
fold_3,zone_hour_average,6.154857246186729,20.270854145956417,0.875838552389105,99.43165186121239
fold_3,rolling_mean_24h,12.198960983884648,35.654322451444756,0.6158798891372644,100.24000400974427
fold_3,linear_regression,4.147824162493268,11.570889588371697,0.959544630812729,73.23136592199509
fold_3,ridge,4.150920308976594,11.574559627154041,0.9595189635865521,73.73022150745042
fold_3,hist_gradient_boosting,3.479993047173095,9.69976272633369,0.9715707834646833,104.05234001297657
fold_3,hist_gradient_boosting_poisson,3.5362256036116815,10.390680889891568,0.9673764900714765,103.5222738991042
fold_3,hist_gradient_boosting_absolute,3.7336338223540766,11.860480986618244,0.9574942901713165,106.75869603553444
