fold,date_nyc,model,rows,mae
fold_1,2026-02-09,ridge,6288,5.161441651926035
fold_1,2026-02-09,hist_gradient_boosting,6288,4.005347317936634
fold_1,2026-02-09,hist_gradient_boosting_poisson,6288,4.032872948278489
fold_1,2026-02-09,hist_gradient_boosting_absolute,6288,4.273880043861974
fold_1,2026-02-10,previous_hour,6288,5.559001272264631
fold_1,2026-02-10,previous_day_24h,6288,4.856075063613232
fold_1,2026-02-10,previous_week_168h,6288,3.760973282442748
fold_1,2026-02-10,zone_hour_average,6288,5.939914411288458
fold_1,2026-02-10,rolling_mean_24h,6288,11.927056827820186
fold_1,2026-02-10,linear_regression,6288,4.229083423883962
fold_1,2026-02-10,ridge,6288,4.249936576818531
fold_1,2026-02-10,hist_gradient_boosting,6288,3.376331010683943
fold_1,2026-02-10,hist_gradient_boosting_poisson,6288,3.5081085680333293
fold_1,2026-02-10,hist_gradient_boosting_absolute,6288,3.6175229466784207
fold_1,2026-02-11,previous_hour,6288,5.819974554707379
fold_1,2026-02-11,previous_day_24h,6288,3.8037531806615776
fold_1,2026-02-11,previous_week_168h,6288,3.619433842239186
fold_1,2026-02-11,zone_hour_average,6288,6.057448531112653
fold_1,2026-02-11,rolling_mean_24h,6288,12.56022052586938
fold_1,2026-02-11,linear_regression,6288,4.189670547388863
fold_1,2026-02-11,ridge,6288,4.204186704899864
fold_1,2026-02-11,hist_gradient_boosting,6288,3.3298451250969685
fold_1,2026-02-11,hist_gradient_boosting_poisson,6288,3.4649086774714353
fold_1,2026-02-11,hist_gradient_boosting_absolute,6288,3.6942870443392533
fold_1,2026-02-12,previous_hour,6288,6.099236641221374
fold_1,2026-02-12,previous_day_24h,6288,4.263040712468193
fold_1,2026-02-12,previous_week_168h,6288,3.866412213740458
fold_1,2026-02-12,zone_hour_average,6288,6.402457783946333
fold_1,2026-02-12,rolling_mean_24h,6288,13.461182675996609
fold_1,2026-02-12,linear_regression,6288,4.4620912026317665
fold_1,2026-02-12,ridge,6288,4.47287619014035
fold_1,2026-02-12,hist_gradient_boosting,6288,3.6047722076920716
fold_1,2026-02-12,hist_gradient_boosting_poisson,6288,3.868672576387824
fold_1,2026-02-12,hist_gradient_boosting_absolute,6288,3.9374964585743077
fold_1,2026-02-13,previous_hour,6288,5.886132315521628
fold_1,2026-02-13,previous_day_24h,6288,5.986800254452926
fold_1,2026-02-13,previous_week_168h,6288,4.314408396946565
fold_1,2026-02-13,zone_hour_average,6288,4.912025792273884
fold_1,2026-02-13,rolling_mean_24h,6288,12.86868506149279
fold_1,2026-02-13,linear_regression,6288,4.2654404878696015
fold_1,2026-02-13,ridge,6288,4.276130061129546
fold_1,2026-02-13,hist_gradient_boosting,6288,3.7415232838159724
fold_1,2026-02-13,hist_gradient_boosting_poisson,6288,3.9063242737475146
fold_1,2026-02-13,hist_gradient_boosting_absolute,6288,4.019786674204448
fold_1,2026-02-14,previous_hour,6288,5.80470737913486
fold_1,2026-02-14,previous_day_24h,6288,8.232029262086513
fold_1,2026-02-14,previous_week_168h,6288,6.125318066157761
fold_1,2026-02-14,zone_hour_average,6288,7.401850566736063
fold_1,2026-02-14,rolling_mean_24h,6288,13.2503975826972
