scope,candidate,reference,mae,reference_mae,delta_mae,relative_reduction_pct
pooled,borough_static,hist_gradient_boosting,3.692829665844971,3.6957502137809892,-0.0029205479360183695,0.07902449481375085
pooled,borough_context,hist_gradient_boosting,3.6803846875066086,3.6957502137809892,-0.015365526274380592,0.41576203437896364
pooled,borough_context,borough_static,3.6803846875066086,3.692829665844971,-0.012444978338362223,0.3370038551592569
fold_1,borough_static,hist_gradient_boosting,3.7392196213172246,3.7419039754385137,-0.00268435412128909,0.07173765384972386
fold_1,borough_context,hist_gradient_boosting,3.7329075266943907,3.7419039754385137,-0.008996448744122976,0.2404243615863666
fold_1,borough_context,borough_static,3.7329075266943907,3.7392196213172246,-0.006312094622833886,0.16880780649654037
fold_2,borough_static,hist_gradient_boosting,3.8490394299375192,3.853552261614407,-0.004512831676887874,0.11710835536968833
fold_2,borough_context,hist_gradient_boosting,3.8461133571784956,3.853552261614407,-0.007438904435911553,0.19304018554545666
fold_2,borough_context,borough_static,3.8461133571784956,3.8490394299375192,-0.002926072759023679,0.07602085695108673
fold_3,borough_static,hist_gradient_boosting,3.4883325758475854,3.489830422983647,-0.001497847136061825,0.04292034152139079
fold_3,borough_context,hist_gradient_boosting,3.4603405909782743,3.489830422983647,-0.029489832005372918,0.8450219188633423
fold_3,borough_context,borough_static,3.4603405909782743,3.4883325758475854,-0.027991984869311093,0.8024459899013459
