fold,model,mae,rmse,r2,smape_pct
fold_1,latest_available,5.526961786623046,16.216290042728918,0.9106147127763013,62.85051865998569
fold_1,previous_day_24h,6.893459196655762,24.090712894106602,0.802729413058098,65.65668370727818
fold_1,previous_week_168h,5.494019220283533,17.469646554932677,0.896263576719967,62.65074590667736
fold_1,zone_hour_average,6.951631416246557,22.553389491649995,0.8271033122965041,95.28815162413822
fold_1,rolling_mean_24h,11.898832242820793,34.43201332600874,0.5970159395515141,98.69739859189163
fold_1,hist_gradient_boosting,3.7419039754385137,10.112493923826651,0.9652400150004187,101.44969013987898
fold_1,borough_static,3.7392196213172246,10.119185653803733,0.9651939964028461,101.32819630779333
fold_1,borough_context,3.7329075266943907,10.088606167386516,0.9654040412729774,100.66529934210953
fold_2,latest_available,5.715769574553337,16.936171656844532,0.9125394747332827,62.26053098287013
fold_2,previous_day_24h,7.042960763564259,24.959706260272736,0.8100407143801222,64.18093731989973
fold_2,previous_week_168h,5.525715841492608,17.880571572990853,0.9025135215553222,61.71563193167014
fold_2,zone_hour_average,6.672852480805607,22.13733245214311,0.8505719386399092,96.42816754889499
fold_2,rolling_mean_24h,12.430757040263837,36.30095727041208,0.5981927737240539,99.03895386781306
fold_2,hist_gradient_boosting,3.853552261614407,10.90915692451733,0.9637119220673165,102.04094025834594
fold_2,borough_static,3.8490394299375192,10.926786679238933,0.9635945405222589,102.09311323360475
fold_2,borough_context,3.8461133571784956,10.91313527782716,0.963685450155728,101.06684770996921
fold_3,latest_available,5.585930873621713,16.829264114011902,0.9144198738735176,61.65384727952853
fold_3,previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
fold_3,previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
fold_3,zone_hour_average,6.160780584857824,20.274713811311692,0.8757912660480981,99.44262189076098
fold_3,rolling_mean_24h,12.198960983884648,35.654322451444756,0.6158798891372644,100.24000400974427
fold_3,hist_gradient_boosting,3.489830422983647,9.747681943714479,0.9712891949539545,104.0379748146967
fold_3,borough_static,3.4883325758475854,9.73828773109476,0.9713445076818694,103.86568669970278
fold_3,borough_context,3.4603405909782743,9.646515389505428,0.9718820539823617,103.53765648018495
