zone_id,Zone,borough,pickups
259,Woodlawn/Wakefield,Bronx,4020
126,Hunts Point,Bronx,3942
81,Eastchester,Bronx,3828
131,Jamaica Estates,Queens,3630
60,Crotona Park East,Bronx,3566
136,Kingsbridge Heights,Bronx,3546
34,Brooklyn Navy Yard,Brooklyn,3516
160,Middle Village,Queens,3448
29,Brighton Beach,Brooklyn,3411
208,Schuylerville/Edgewater Park,Bronx,3396
32,Bronxdale,Bronx,3326
185,Pelham Parkway,Bronx,3303
102,Glendale,Queens,3277
202,Roosevelt Island,Manhattan,3271
173,North Corona,Queens,3267
257,Windsor Terrace,Brooklyn,3253
124,Howard Beach,Queens,3239
21,Bensonhurst East,Brooklyn,3188
149,Madison,Brooklyn,3126
135,Kew Gardens Hills,Queens,3062
147,Longwood,Bronx,3051
93,Flushing Meadows-Corona Park,Queens,2989
139,Laurelton,Queens,2869
108,Gravesend,Brooklyn,2774
67,Dyker Heights,Brooklyn,2739
200,Riverdale/North Riverdale/Fieldston,Bronx,2709
180,Ozone Park,Queens,2645
203,Rosedale,Queens,2570
20,Belmont,Bronx,2568
122,Hollis,Queens,2486
94,Fordham South,Bronx,2449
3,Allerton/Pelham Gardens,Bronx,2295
38,Cambria Heights,Queens,2200
19,Bellerose,Queens,2058
54,Columbia Street,Brooklyn,2048
53,College Point,Queens,1876
150,Manhattan Beach,Brooklyn,1731
16,Bayside,Queens,1695
171,Murray Hill-Queens,Queens,1692
190,Prospect Park,Brooklyn,1677
183,Pelham Bay,Bronx,1631
11,Bath Beach,Brooklyn,1613
192,Queensboro Hill,Queens,1569
252,Whitestone,Queens,1544
178,Ocean Parkway South,Brooklyn,1530
101,Glen Oaks,Queens,1496
201,Rockaway Park,Queens,1494
98,Fresh Meadows,Queens,1292
153,Marble Hill,Manhattan,1213
207,Saint Michaels Cemetery/Woodside,Queens,1194
175,Oakland Gardens,Queens,1087
128,Inwood Hill Park,Manhattan,956
9,Auburndale,Queens,926
15,Bay Terrace/Fort Totten,Queens,906
194,Randalls Island,Manhattan,839
64,Douglaston,Queens,834
73,East Flushing,Queens,785
240,Van Cortlandt Park,Bronx,753
31,Bronx Park,Bronx,535
120,Highbridge Park,Manhattan,488
