dimension,value,rows,mae,rmse,r2,smape_pct
zone_id,2,720,0.23158366359419252,0.2455754001989061,-7.744976920724737,199.50821059768916
zone_id,3,720,0.6389900172113298,0.8327614905797189,0.1624102200999018,147.51828487048147
zone_id,4,720,5.384215549762928,8.206533024577764,0.8481770796811303,29.66475377361648
zone_id,5,720,0.23118577531129222,0.24500539937671198,-7.7044284036889294,199.5172151106083
zone_id,6,720,0.27468578803823834,0.31941186683860273,-0.505271255894904,194.86445353622904
zone_id,7,720,3.2060560324404768,4.673586248168076,0.517118631532733,37.783035217602055
zone_id,8,720,0.2626651502248976,0.3026929225747914,-0.8125998316046688,196.71056488497294
zone_id,9,720,0.41295530259965035,0.5568823083762242,-0.02739103745712046,183.15688519530434
zone_id,10,720,1.4608260814993783,1.9938013030273525,0.2459953639085617,83.08596668411018
zone_id,11,720,0.5183553184914309,0.6563284970906091,0.12432734303972681,164.0682822849675
zone_id,12,720,1.0427386539209096,1.4873863573551847,0.5773662366147551,127.57005671045137
zone_id,13,720,6.078841976734336,8.714141610253645,0.903163540025669,37.459991759099516
zone_id,14,720,1.2674792646384785,1.7382481569390213,0.36406275374785346,84.90645380528397
zone_id,15,720,0.42890270161717614,0.5437109149218597,-0.01884251800525205,179.3688828275123
zone_id,16,720,0.6034940047019904,0.7875829501486782,0.028056756596526844,159.5110995601749
zone_id,17,720,2.0756822015348213,2.7474996030376984,0.50321609700558,54.35973479911443
zone_id,18,720,0.9359562346250427,1.2456208095964227,0.3173771443997817,111.91601548425038
zone_id,19,720,0.6375175678564323,0.8317817642309708,0.08316881493050698,155.12636050852453
zone_id,20,720,0.7242437243602579,0.9584642943963183,0.10033903887990292,140.18216361700422
zone_id,21,720,0.7413426182371023,1.0291788704884832,0.23160538701672095,131.02027418473648
zone_id,22,720,0.8531307227043021,1.1758520295718538,0.2798747408214134,128.44448808469457
zone_id,23,720,0.2585849750621964,0.28927819861664045,-0.9134879193432217,196.40595517837536
zone_id,24,720,3.7111126857845163,5.102353028087542,0.7428628360830007,30.465925807448436
zone_id,25,720,2.471580878829983,3.3663397148646594,0.4689773739083064,56.39154778515683
zone_id,26,720,0.9730840393451455,1.408119062350691,0.3913208631418911,119.57083696363412
zone_id,27,720,0.2350002964653364,0.2518916335288498,-3.632699491505055,198.79463709443775
zone_id,28,720,1.0111886456240313,1.346869569290719,0.12409340676370662,107.32856628317744
zone_id,29,720,0.7987666033285648,1.0457985967092354,0.33987053472109974,128.68843220824476
zone_id,30,720,0.239244693910666,0.25874555746909866,-3.085039807389504,198.84389392652272
zone_id,31,720,0.3535430406014371,0.46813327576298863,0.00969569823985239,188.54847836133243
zone_id,32,720,0.7684114563131664,1.0245372362903324,0.1970554308038528,134.35834788291388
zone_id,33,720,2.5625685329469055,3.5106017850386695,0.5634724127742057,59.615270797897956
zone_id,34,720,1.1484404845203273,3.321688783502447,0.3317065508747622,155.054712063599
zone_id,35,720,1.829448305544787,2.5162622290870256,0.6398961304849426,70.66171529918253
zone_id,36,720,2.3734972452632803,3.7410325897156698,0.6789544801415295,70.64160800691107
zone_id,37,720,2.705146412042869,4.054281659369664,0.6703768951311913,43.548195499185915
zone_id,38,720,0.6042264412054219,0.8141161323938513,0.2665887181085992,151.19648930081303
zone_id,39,720,1.9696100669414285,2.7643008191555904,0.7130933921462713,72.77167099036969
zone_id,40,720,1.1815226725751746,1.647113168533469,0.3472376565171218,98.40779757335284
zone_id,41,720,5.802540237236985,7.7786382346294225,0.7407373525351024,29.936357374790045
zone_id,42,720,4.734543588075183,6.5252269019183435,0.7131936067990878,31.69601971426475
zone_id,43,720,13.18793403747837,19.57792846627246,0.8970926890316702,35.28186974642203
zone_id,44,720,0.230509506210031,0.24358994896597466,-9.74015893232835,199.5982920102657
zone_id,45,720,3.494189037742712,4.765085530493745,0.7141430337806179,43.06539078937052
zone_id,46,720,0.3343338734766909,0.42787732685257357,-0.13526503759577646,190.05689277989626
zone_id,47,720,0.9182974202198089,1.2095211825765477,0.29406953015751447,113.0577215110451
zone_id,48,720,15.755383111014984,23.140693742222247,0.8904855943982857,14.450422436472591
zone_id,49,720,2.1524802280862776,2.898244328836644,0.5027807396141646,63.36840006527016
zone_id,50,720,6.910620947196973,9.67769720538427,0.7760975784002953,25.62105093249389
zone_id,51,720,1.3431728711492332,1.852224703849043,0.4679423354318648,91.06431589909603
zone_id,52,720,1.1894634829086677,1.7353368065575505,0.22662211867838378,101.71311361740507
zone_id,53,720,0.5537327274299936,0.6993122183392843,-0.038668139445539707,168.7268940924269
zone_id,54,720,0.5786357048254549,0.7337503027649794,0.12928920731908533,159.98556226634156
zone_id,55,720,1.2790759903672442,1.8302888351309705,0.5372099469657967,98.15624877168581
zone_id,56,720,0.9019354078902638,1.1927316457232287,0.16179789087616547,108.7848528112979
zone_id,57,720,0.27443659807621196,0.3227464815108395,-0.6152459401226904,196.06420153964598
zone_id,58,720,0.29837627547895484,0.36257989304458227,-0.17196660952985177,191.2974561589025
zone_id,59,720,0.25552790730931935,0.28903811292413756,-1.0163279075688707,196.94765843421612
zone_id,60,720,0.752637938055194,1.0157982770558034,0.25258525287916944,128.2796944650633
zone_id,61,720,3.075084861851307,4.0949717991434955,0.6755909354238623,45.239527285836886
zone_id,62,720,1.4378940793587924,1.98072157153986,0.4551694797389745,83.89400768343482
zone_id,63,720,1.079977538946443,1.5075290263280252,0.4454618280235543,99.43803949206516
zone_id,64,720,0.4022182601309429,0.5144185371775855,-0.012034894863002688,182.66358748356987
zone_id,65,720,2.5420154431509285,3.445751212922602,0.4784130969641205,54.39169970161818
zone_id,66,720,2.4998159044207346,3.551209473438513,0.6533703875345815,64.37903759036423
zone_id,67,720,0.6299399483705528,0.8411868363738257,0.10223817889240572,147.43600896136374
zone_id,68,720,15.310977522894579,20.879007879934868,0.9313637153408082,16.47922183568399
zone_id,69,720,1.3799515655086543,1.9195964582926899,0.439319052526812,91.99103050870423
zone_id,70,720,4.224847714783071,5.6229841448704025,0.6178515134713407,62.881023276581516
zone_id,71,720,1.5987737599825524,2.2130463748865097,0.5431484854970093,82.75482972224862
zone_id,72,720,1.6973742520332369,2.3546920446775985,0.5891836383174747,77.19055483239293
zone_id,73,720,0.3895422987366148,0.5139678516700971,-0.01079927222753585,185.66341759790427
zone_id,74,720,4.789950907831365,6.348853313958264,0.7507119404279048,27.72353297709432
zone_id,75,720,7.352242282658692,10.22818311075089,0.8656950062739202,24.039387103642916
zone_id,76,720,2.717217854349828,3.7933792568017077,0.679537804911521,53.126423867585736
zone_id,77,720,1.241009894871543,1.734124139989965,0.3476251001611754,98.65322297259458
zone_id,78,720,1.076922414657371,1.4547249535218032,0.32475505532944937,105.22191586485751
zone_id,79,720,18.70017269560461,30.101787823054714,0.9584569759663095,16.63409836554363
