model,mae,rmse,r2,smape_pct
previous_hour,5.585930873621713,16.829264114011902,0.9144198738735176,61.65384727952853
previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
zone_hour_average,6.154857246186729,20.270854145956417,0.875838552389105,99.43165186121239
rolling_mean_24h,12.198960983884648,35.654322451444756,0.6158798891372644,100.24000400974427
linear_regression,4.147824162493268,11.570889588371697,0.959544630812729,73.23136592199509
ridge,4.150920308976594,11.574559627154041,0.9595189635865521,73.73022150745042
hist_gradient_boosting,3.479993047173095,9.69976272633369,0.9715707834646833,104.05234001297657
