zone_id,Zone,borough,exact_duplicate_excess,affected_zone_hours
158,Meatpacking/West Village West,Manhattan,0,0
159,Melrose South,Bronx,0,0
160,Middle Village,Queens,0,0
161,Midtown Center,Manhattan,0,0
162,Midtown East,Manhattan,0,0
163,Midtown North,Manhattan,0,0
164,Midtown South,Manhattan,0,0
165,Midwood,Brooklyn,0,0
166,Morningside Heights,Manhattan,0,0
167,Morrisania/Melrose,Bronx,0,0
168,Mott Haven/Port Morris,Bronx,0,0
169,Mount Hope,Bronx,0,0
170,Murray Hill,Manhattan,0,0
171,Murray Hill-Queens,Queens,0,0
172,New Dorp/Midland Beach,Staten Island,0,0
173,North Corona,Queens,0,0
174,Norwood,Bronx,0,0
175,Oakland Gardens,Queens,0,0
176,Oakwood,Staten Island,0,0
177,Ocean Hill,Brooklyn,0,0
178,Ocean Parkway South,Brooklyn,0,0
179,Old Astoria,Queens,0,0
180,Ozone Park,Queens,0,0
181,Park Slope,Brooklyn,0,0
182,Parkchester,Bronx,0,0
183,Pelham Bay,Bronx,0,0
184,Pelham Bay Park,Bronx,0,0
185,Pelham Parkway,Bronx,0,0
186,Penn Station/Madison Sq West,Manhattan,0,0
187,Port Richmond,Staten Island,0,0
188,Prospect-Lefferts Gardens,Brooklyn,0,0
189,Prospect Heights,Brooklyn,0,0
190,Prospect Park,Brooklyn,0,0
191,Queens Village,Queens,0,0
192,Queensboro Hill,Queens,0,0
193,Queensbridge/Ravenswood,Queens,0,0
194,Randalls Island,Manhattan,0,0
195,Red Hook,Brooklyn,0,0
196,Rego Park,Queens,0,0
197,Richmond Hill,Queens,0,0
198,Ridgewood,Queens,0,0
199,Rikers Island,Bronx,0,0
200,Riverdale/North Riverdale/Fieldston,Bronx,0,0
201,Rockaway Park,Queens,0,0
202,Roosevelt Island,Manhattan,0,0
203,Rosedale,Queens,0,0
204,Rossville/Woodrow,Staten Island,0,0
205,Saint Albans,Queens,0,0
206,Saint George/New Brighton,Staten Island,0,0
207,Saint Michaels Cemetery/Woodside,Queens,0,0
208,Schuylerville/Edgewater Park,Bronx,0,0
209,Seaport,Manhattan,0,0
210,Sheepshead Bay,Brooklyn,0,0
211,SoHo,Manhattan,0,0
212,Soundview/Bruckner,Bronx,0,0
213,Soundview/Castle Hill,Bronx,0,0
214,South Beach/Dongan Hills,Staten Island,0,0
215,South Jamaica,Queens,0,0
216,South Ozone Park,Queens,0,0
217,South Williamsburg,Brooklyn,0,0
218,Springfield Gardens North,Queens,0,0
219,Springfield Gardens South,Queens,0,0
220,Spuyten Duyvil/Kingsbridge,Bronx,0,0
221,Stapleton,Staten Island,0,0
222,Starrett City,Brooklyn,0,0
223,Steinway,Queens,0,0
224,Stuy Town/Peter Cooper Village,Manhattan,0,0
225,Stuyvesant Heights,Brooklyn,0,0
226,Sunnyside,Queens,0,0
227,Sunset Park East,Brooklyn,0,0
228,Sunset Park West,Brooklyn,0,0
229,Sutton Place/Turtle Bay North,Manhattan,0,0
230,Times Sq/Theatre District,Manhattan,0,0
231,TriBeCa/Civic Center,Manhattan,0,0
232,Two Bridges/Seward Park,Manhattan,0,0
233,UN/Turtle Bay South,Manhattan,0,0
234,Union Sq,Manhattan,0,0
235,University Heights/Morris Heights,Bronx,0,0
236,Upper East Side North,Manhattan,0,0
237,Upper East Side South,Manhattan,0,0
238,Upper West Side North,Manhattan,0,0
239,Upper West Side South,Manhattan,0,0
240,Van Cortlandt Park,Bronx,0,0
241,Van Cortlandt Village,Bronx,0,0
242,Van Nest/Morris Park,Bronx,0,0
243,Washington Heights North,Manhattan,0,0
244,Washington Heights South,Manhattan,0,0
245,West Brighton,Staten Island,0,0
246,West Chelsea/Hudson Yards,Manhattan,0,0
247,West Concourse,Bronx,0,0
248,West Farms/Bronx River,Bronx,0,0
249,West Village,Manhattan,0,0
250,Westchester Village/Unionport,Bronx,0,0
251,Westerleigh,Staten Island,0,0
252,Whitestone,Queens,0,0
253,Willets Point,Queens,0,0
254,Williamsbridge/Olinville,Bronx,0,0
255,Williamsburg (North Side),Brooklyn,0,0
256,Williamsburg (South Side),Brooklyn,0,0
257,Windsor Terrace,Brooklyn,0,0
258,Woodhaven,Queens,0,0
259,Woodlawn/Wakefield,Bronx,0,0
260,Woodside,Queens,0,0
261,World Trade Center,Manhattan,0,0
262,Yorkville East,Manhattan,0,0
263,Yorkville West,Manhattan,0,0
