delay_hours,model,mae,rmse,r2,smape_pct
0,previous_day_24h,6.755355131665981,23.877750836311684,0.8209114197352733,63.8812644261166
0,previous_week_168h,5.104227970752811,16.26169782111238,0.9169360011908638,60.55368874778768
0,zone_hour_average,6.587909941945614,21.662713558602412,0.8525968461418207,97.08592699840645
0,rolling_mean_24h,12.185161431610561,35.502944551828044,0.6040778402799867,99.33648593187453
0,hist_gradient_boosting,3.6957502137809892,10.278489656710033,0.9668151645970754,102.52831487238001
0,latest_available,5.612555196024099,16.67647107202841,0.9126446776978974,62.241636112900906
1,previous_day_24h,6.755355131665981,23.877750836311684,0.8209114197352733,63.8812644261166
1,previous_week_168h,5.104227970752811,16.26169782111238,0.9169360011908638,60.55368874778768
1,zone_hour_average,6.587909941945614,21.662713558602412,0.8525968461418207,97.08592699840645
1,rolling_mean_24h,12.269711610085157,35.75521854280438,0.5984312254794953,99.53159025843546
1,hist_gradient_boosting,4.168208031158981,11.951843894342565,0.9551305355755967,103.06500886133993
1,latest_available,8.51418560165901,26.4846914169992,0.7796713893635303,70.5394067424049
3,previous_day_24h,6.755355131665981,23.877750836311684,0.8209114197352733,63.8812644261166
3,previous_week_168h,5.104227970752811,16.26169782111238,0.9169360011908638,60.55368874778768
3,zone_hour_average,6.587909941945614,21.662713558602412,0.8525968461418207,97.08592699840645
3,rolling_mean_24h,12.383982575635686,36.09694933025808,0.5907185502402661,99.77770349298724
3,hist_gradient_boosting,4.439878249753471,13.059209673807395,0.9464308381850834,103.6876767205247
3,latest_available,13.325920231689222,40.92820710066547,0.4738294918169592,82.42659231822056
6,previous_day_24h,6.755355131665981,23.877750836311684,0.8209114197352733,63.8812644261166
6,previous_week_168h,5.104227970752811,16.26169782111238,0.9169360011908638,60.55368874778768
6,zone_hour_average,6.587909941945614,21.662713558602412,0.8525968461418207,97.08592699840645
6,rolling_mean_24h,12.4578440179726,36.3602347160531,0.5847263093119015,99.93073987556674
6,hist_gradient_boosting,4.5434139530848014,13.628370721518927,0.9416596622385208,104.11190813612741
6,latest_available,18.72680158034932,55.00665736304725,0.049588744937825835,92.33558660493881
