delay_hours,fold,model,mae,rmse,r2,smape_pct
0,fold_1,previous_day_24h,6.893459196655762,24.090712894106602,0.802729413058098,65.65668370727818
0,fold_1,previous_week_168h,5.494019220283533,17.469646554932677,0.896263576719967,62.65074590667736
0,fold_1,zone_hour_average,6.951631416246557,22.553389491649995,0.8271033122965041,95.28815162413822
0,fold_1,rolling_mean_24h,11.898832242820793,34.43201332600874,0.5970159395515141,98.69739859189163
0,fold_1,hist_gradient_boosting,3.7419039754385137,10.112493923826651,0.9652400150004187,101.44969013987898
0,fold_1,latest_available,5.526961786623046,16.216290042728918,0.9106147127763013,62.85051865998569
0,fold_2,previous_day_24h,7.042960763564259,24.959706260272736,0.8100407143801222,64.18093731989973
0,fold_2,previous_week_168h,5.525715841492608,17.880571572990853,0.9025135215553222,61.71563193167014
0,fold_2,zone_hour_average,6.672852480805607,22.13733245214311,0.8505719386399092,96.42816754889499
0,fold_2,rolling_mean_24h,12.430757040263837,36.30095727041208,0.5981927737240539,99.03895386781306
0,fold_2,hist_gradient_boosting,3.853552261614407,10.90915692451733,0.9637119220673165,102.04094025834594
0,fold_2,latest_available,5.715769574553337,16.936171656844532,0.9125394747332827,62.26053098287013
0,fold_3,previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
0,fold_3,previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
0,fold_3,zone_hour_average,6.160780584857824,20.274713811311692,0.8757912660480981,99.44262189076098
0,fold_3,rolling_mean_24h,12.198960983884648,35.654322451444756,0.6158798891372644,100.24000400974427
0,fold_3,hist_gradient_boosting,3.489830422983647,9.747681943714479,0.9712891949539545,104.0379748146967
0,fold_3,latest_available,5.585930873621713,16.829264114011902,0.9144198738735176,61.65384727952853
1,fold_1,previous_day_24h,6.893459196655762,24.090712894106602,0.802729413058098,65.65668370727818
1,fold_1,previous_week_168h,5.494019220283533,17.469646554932677,0.896263576719967,62.65074590667736
1,fold_1,zone_hour_average,6.951631416246557,22.553389491649995,0.8271033122965041,95.28815162413822
1,fold_1,rolling_mean_24h,11.990973216178967,34.70509125801414,0.5905985141945644,98.93713325417535
1,fold_1,hist_gradient_boosting,4.390188901965194,12.403219814128775,0.9477084019790856,102.35629180923215
1,fold_1,latest_available,8.367343693202471,25.67713519299563,0.775892614801462,71.33743068584005
1,fold_2,previous_day_24h,7.042960763564259,24.959706260272736,0.8100407143801222,64.18093731989973
1,fold_2,previous_week_168h,5.525715841492608,17.880571572990853,0.9025135215553222,61.71563193167014
1,fold_2,zone_hour_average,6.672852480805607,22.13733245214311,0.8505719386399092,96.42816754889499
1,fold_2,rolling_mean_24h,12.51882840352193,36.56386674965161,0.5923515242771681,99.22888934437977
1,fold_2,hist_gradient_boosting,4.337774699672275,12.648695976796782,0.9512164842881964,102.52021469311427
1,fold_2,latest_available,8.679676985195155,26.989303590427472,0.7778916199097751,70.65656699152974
1,fold_3,previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
1,fold_3,previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
1,fold_3,zone_hour_average,6.160780584857824,20.274713811311692,0.8757912660480981,99.44262189076098
1,fold_3,rolling_mean_24h,12.272792753392705,35.87682114124806,0.6110707726572164,100.39878732233291
1,fold_3,hist_gradient_boosting,3.7860425035379337,10.718936985202161,0.9652826869602548,104.28867542524009
1,fold_3,latest_available,8.480460135708228,26.700349076318943,0.7845846988294662,69.67368152700469
3,fold_1,previous_day_24h,6.893459196655762,24.090712894106602,0.802729413058098,65.65668370727818
3,fold_1,previous_week_168h,5.494019220283533,17.469646554932677,0.896263576719967,62.65074590667736
3,fold_1,zone_hour_average,6.951631416246557,22.553389491649995,0.8271033122965041,95.28815162413822
3,fold_1,rolling_mean_24h,12.117824342284624,35.09072253966724,0.5814497030196404,99.24041410602705
3,fold_1,hist_gradient_boosting,4.799992712711278,14.115273091586046,0.9322761556430021,103.2893125520405
3,fold_1,latest_available,12.994626953834969,39.49211931172768,0.4698681296311725,83.05531788730693
3,fold_2,previous_day_24h,7.042960763564259,24.959706260272736,0.8100407143801222,64.18093731989973
3,fold_2,previous_week_168h,5.525715841492608,17.880571572990853,0.9025135215553222,61.71563193167014
3,fold_2,zone_hour_average,6.672852480805607,22.13733245214311,0.8505719386399092,96.42816754889499
3,fold_2,rolling_mean_24h,12.635959797807526,36.912903719549256,0.5845315904717919,99.44108133924254
3,fold_2,hist_gradient_boosting,4.6064165426062695,13.714347624266097,0.9426502017151943,103.22248487206971
3,fold_2,latest_available,13.659457737868966,42.08028801656406,0.4600680901313242,82.66819440422772
3,fold_3,previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
3,fold_3,previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
3,fold_3,zone_hour_average,6.160780584857824,20.274713811311692,0.8757912660480981,99.44262189076098
3,fold_3,rolling_mean_24h,12.372370432216568,36.17139159873692,0.6046578637489055,100.62654894891719
3,fold_3,hist_gradient_boosting,3.93191315156281,11.209705067268285,0.96203083535934,104.5395354213906
3,fold_3,latest_available,13.290935114503817,41.03927360920879,0.4910888100568096,81.59046185665201
6,fold_1,previous_day_24h,6.893459196655762,24.090712894106602,0.802729413058098,65.65668370727818
6,fold_1,previous_week_168h,5.494019220283533,17.469646554932677,0.896263576719967,62.65074590667736
6,fold_1,zone_hour_average,6.951631416246557,22.553389491649995,0.8271033122965041,95.28815162413822
6,fold_1,rolling_mean_24h,12.215516564052466,35.43276801658844,0.5732503292467495,99.44747367325424
6,fold_1,hist_gradient_boosting,5.000504718365687,15.167240119885333,0.9218055088706377,103.48893204204578
6,fold_1,latest_available,18.171875,53.083354001566406,0.04218916897384639,92.4921118836212
6,fold_2,previous_day_24h,7.042960763564259,24.959706260272736,0.8100407143801222,64.18093731989973
6,fold_2,previous_week_168h,5.525715841492608,17.880571572990853,0.9025135215553222,61.71563193167014
6,fold_2,zone_hour_average,6.672852480805607,22.13733245214311,0.8505719386399092,96.42816754889499
6,fold_2,rolling_mean_24h,12.70729309004483,37.16244595166788,0.5788952223062814,99.56129336015552
6,fold_2,hist_gradient_boosting,4.669855648085096,14.10455752274839,0.9393402633765979,103.69718415459175
6,fold_2,latest_available,19.1388018452118,56.25823053905344,0.03494131292661584,92.63014974402596
6,fold_3,previous_day_24h,6.329664970313825,22.496325446814435,0.8470794532240189,61.91496065247574
6,fold_3,previous_week_168h,4.3054707379134864,13.01444604151862,0.9488207350529168,57.397374586123114
6,fold_3,zone_hour_average,6.160780584857824,20.274713811311692,0.8757912660480981,99.44262189076098
6,fold_3,rolling_mean_24h,12.426598724201298,36.377856173172596,0.6001317951813766,100.76303661015642
6,fold_3,hist_gradient_boosting,3.9863151007876167,11.434424720436137,0.960493249553485,105.12132459932724
6,fold_3,latest_available,18.81957167090755,55.4622240946639,0.07052602883247139,91.88552354991614
