fold,model,dimension,value,rows,mean_prediction,positive_prediction_fraction,mae,rmse,r2,smape_pct,delay_hours
fold_1,previous_day_24h,borough,Bronx,28896,1.1995431893687707,0.5133236434108527,1.0574127906976745,1.7195882255817079,0.0517391788313355,81.13008343758811,0
fold_1,previous_week_168h,borough,Bronx,28896,1.2190268549280177,0.5166112956810631,1.0474114064230344,1.709000018467795,0.06338088520860663,80.23373502230694,0
fold_1,zone_hour_average,borough,Bronx,28896,1.1981328139273875,0.9718992248062015,0.8841837766740869,1.3314959120753829,0.43146323142663945,120.25978483450722,0
fold_1,rolling_mean_24h,borough,Bronx,28896,1.20078326873385,0.9554263565891473,1.0634718761535622,1.571813902443227,0.20771554790071578,118.61157754521435,0
fold_1,hist_gradient_boosting,borough,Bronx,28896,1.2480271764117674,1.0,0.898020387493043,1.3030748113261976,0.45547530345823517,125.45989494282703,0
fold_1,latest_available,borough,Bronx,28896,1.2059108527131783,0.5158153377630121,1.0453696013289036,1.6918535675138058,0.08208086161061023,80.93730840535245,0
fold_1,previous_day_24h,borough,Brooklyn,40992,3.6573965651834506,0.7080893832943014,2.4449404761904763,4.691193249714518,0.2690778990816869,79.72621097110043,0
fold_1,previous_week_168h,borough,Brooklyn,40992,3.74756049960968,0.7154810694769711,2.2249951209992194,3.7886732099307734,0.5232631303021469,76.93874315090795,0
fold_1,zone_hour_average,borough,Brooklyn,40992,3.46665286747254,0.9897540983606558,2.132247238189861,3.92280430129984,0.4889095899026574,95.40592784994287,0
fold_1,rolling_mean_24h,borough,Brooklyn,40992,3.6545687776476705,0.9858752927400468,2.5709467701014828,4.350292547558618,0.37144776786763745,98.74580465672165,0
fold_1,hist_gradient_boosting,borough,Brooklyn,40992,3.6761847845804656,1.0,1.721177888328903,2.761811746558704,0.7466665186562823,92.86165415530246,0
fold_1,latest_available,borough,Brooklyn,40992,3.647467798594848,0.7073575331772053,2.027078454332553,3.3942784319174777,0.6173520636442088,75.03912794093132,0
fold_1,previous_day_24h,borough,Manhattan,46368,62.90221704623878,0.8773076259489303,20.339415113871635,44.70428823746661,0.7347871589715516,47.619628646966085,0
fold_1,previous_week_168h,borough,Manhattan,46368,63.83531746031746,0.8800897170462388,15.174861973775018,30.153142450745236,0.8793405510845854,40.70826378404754,0
fold_1,zone_hour_average,borough,Manhattan,46368,65.39476955545796,0.9577294685990339,21.36867321710317,42.20705074107084,0.7635898102768701,55.970168662605836,0
fold_1,rolling_mean_24h,borough,Manhattan,46368,62.83463990970784,0.9554649758454107,38.14292723429951,64.39473560904202,0.4497033012990068,75.2510092005159,0
fold_1,hist_gradient_boosting,borough,Manhattan,46368,63.87059869629732,0.9995471014492754,9.978453482566373,17.99564317672326,0.9570235117381541,49.42486061430254,0
fold_1,latest_available,borough,Manhattan,46368,62.73365251897861,0.8772644927536232,15.856452726017944,29.639436639025597,0.8834167741706072,42.84811887361245,0
fold_1,previous_day_24h,borough,Queens,46368,6.4644151138716355,0.5598257418909592,2.9990726363008973,13.561127519739104,0.8209172054671309,77.66159897621505,0
fold_1,previous_week_168h,borough,Queens,46368,6.6125992063492065,0.568301414768806,3.049646307798482,15.33261880592794,0.7710740947178158,76.08853488888728,0
fold_1,zone_hour_average,borough,Queens,46368,6.963032905544984,0.9752415458937198,2.574756275662073,11.630206031423326,0.8682844407989203,115.72869494522071,0
fold_1,rolling_mean_24h,borough,Queens,46368,6.465586899010812,0.9601449275362319,4.08528511042098,18.350527564740002,0.6720864430867567,115.52961428118265,0
fold_1,hist_gradient_boosting,borough,Queens,46368,6.517560879227634,0.9998706004140787,2.0802069575045943,7.525620299495095,0.9448498283914769,118.26744234756599,0
fold_1,latest_available,borough,Queens,46368,6.477311939268461,0.5596532091097308,2.6700094893029678,10.39384145208714,0.8948003151485063,75.97776653117818,0
fold_1,previous_day_24h,borough,Staten Island,13440,0.03184523809523809,0.029389880952380952,0.056026785714285716,0.25631895123440396,-0.7827346254325762,10.287698412698415,0
fold_1,previous_week_168h,borough,Staten Island,13440,0.03563988095238095,0.03184523809523809,0.05892857142857143,0.26753949419175654,-0.9422318342764873,10.610119047619047,0
fold_1,zone_hour_average,borough,Staten Island,13440,0.03245510662177328,0.5333333333333333,0.057190606461439794,0.1873655459430448,0.04741282410878622,106.36708949269287,0
fold_1,rolling_mean_24h,borough,Staten Island,13440,0.03180803571428571,0.3885416666666667,0.05951760912698413,0.1923171437059825,-0.00360141581012674,78.55317461670859,0
fold_1,hist_gradient_boosting,borough,Staten Island,13440,0.22196356416440086,1.0,0.23622716748649658,0.2733547055781848,-1.0275817497649604,197.4856763132177,0
fold_1,latest_available,borough,Staten Island,13440,0.03169642857142857,0.02924107142857143,0.05677083333333333,0.25689885910514243,-0.7908104334753059,10.50793650793651,0
fold_1,previous_day_24h,local_hour,0,7336,13.745501635768811,0.5344874591057798,8.895992366412214,37.38052395872176,0.3865732659922413,69.88355691548028,0
fold_1,previous_week_168h,local_hour,0,7336,14.004907306434024,0.5505725190839694,4.491003271537623,15.655184040759615,0.8924059426074291,62.36207104597269,0
fold_1,zone_hour_average,local_hour,0,7336,14.979643765903306,0.9312977099236641,10.1153671392221,33.72386811474537,0.500717097153561,116.88460730463215,0
fold_1,rolling_mean_24h,local_hour,0,7336,19.319145310796074,0.920392584514722,13.168063885859686,40.34229614919435,0.2855149326938562,115.28287757911369,0
fold_1,hist_gradient_boosting,local_hour,0,7336,14.44630769405933,0.9998636859323882,3.3262689101281486,9.840952650646706,0.9574846053690581,119.23193598970352,0
fold_1,latest_available,local_hour,0,7336,19.289258451472193,0.6120501635768811,7.304798255179935,21.518765111139555,0.7967143979984479,68.15048111808575,0
fold_1,previous_day_24h,local_hour,1,7336,9.18784078516903,0.4326608505997819,7.185932388222464,37.127154112846895,0.23980895904738142,62.85120064768357,0
fold_1,previous_week_168h,local_hour,1,7336,9.221237731733915,0.43784078516902947,3.0396673936750274,11.328620831569674,0.9292227787626073,54.87571339855782,0
fold_1,zone_hour_average,local_hour,1,7336,9.920836867401752,0.9274809160305344,8.539071650712872,33.179883357577744,0.39285959585140906,134.69567221315546,0
fold_1,rolling_mean_24h,local_hour,1,7336,19.318003680479826,0.9198473282442748,15.656198882224645,45.06595827482901,-0.12004802869282782,139.04006835293816,0
fold_1,hist_gradient_boosting,local_hour,1,7336,9.79151170517677,0.9989094874591058,2.3625983971253826,7.528331964514136,0.9687437445285481,135.6131166246636,0
fold_1,latest_available,local_hour,1,7336,13.718102508178845,0.5338058887677208,5.374591057797165,15.90996683563527,0.8604023928107574,65.97688831047554,0
fold_1,previous_day_24h,local_hour,2,7336,6.273718647764449,0.38208833151581245,5.328516902944384,28.95497670725665,0.20253095475631433,58.592545164042974,0
fold_1,previous_week_168h,local_hour,2,7336,6.218375136314068,0.3914940021810251,2.0828789531079606,7.174108298600156,0.9510443015119636,51.476186894053825,0
fold_1,zone_hour_average,local_hour,2,7336,6.649561775515974,0.9198473282442748,6.316041641423322,25.788261296653562,0.3674257364249509,139.95222843792996,0
fold_1,rolling_mean_24h,local_hour,2,7336,19.316731415848786,0.9199836423118866,16.387342102871685,43.433206589333516,-0.7943666211653437,149.36210016642485,0
fold_1,hist_gradient_boosting,local_hour,2,7336,6.711603042009595,0.997546346782988,1.7517453681261912,5.3893428317233205,0.9723726635275316,143.17235241032395,0
fold_1,latest_available,local_hour,2,7336,9.157306434023992,0.4323882224645583,3.40567066521265,12.725169333617826,0.8459738234264788,54.93615161019636,0
fold_1,previous_day_24h,local_hour,3,7336,4.503544165757906,0.4048527808069793,4.091057797164668,20.27679239193324,0.16807995803204756,67.01935371449335,0
fold_1,previous_week_168h,local_hour,3,7336,4.386723009814613,0.41098691384950925,1.762131952017448,6.482959375799457,0.9149587415423976,58.494300100255515,0
fold_1,zone_hour_average,local_hour,3,7336,4.638394119310149,0.9427480916030534,4.580854436770467,17.76792742502273,0.36121218807436184,141.12073133074276,0
