,borough_bronx,borough_brooklyn,borough_manhattan,borough_queens,borough_staten_island,borough_other_mean_lag_1,borough_other_mean_lag_24
count,905210.0,905210.0,905210.0,905210.0,905210.0,905210.0,905210.0
mean,0.16412213740458015,0.23282442748091603,0.2633587786259542,0.2633587786259542,0.07633587786259542,20.00161509483987,20.005959942996654
std,0.37038657234049566,0.42263153073406284,0.44045561259084554,0.4404556125908455,0.265534912028028,33.914184136283815,33.89595078257186
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,1.4761904761904763,1.4761904761904763
50%,0.0,0.0,0.0,0.0,0.0,4.514705882352941,4.514705882352941
75%,0.0,0.0,1.0,1.0,0.0,11.544117647058824,11.588235294117647
max,1.0,1.0,1.0,1.0,1.0,177.61764705882354,177.61764705882354
