zone_id,neighbor_id,shared_boundary_m,overlap_m2,qualifies
2,30,554.0056871804849,0.01148512618915123,True
2,132,502.69534157615163,0.0,True
3,184,20.94006962351566,0.0,True
3,242,808.3101148747596,0.0,True
3,185,1150.6146819881433,0.001470747287176775,True
3,32,1346.5446380133205,0.01675053214715642,True
3,51,0.0,0.0,False
3,81,2002.8723082086854,0.013989091115335691,True
3,254,994.5011653819291,0.0,True
4,232,591.6153451828479,0.009884242877381688,True
4,148,0.0,0.0,False
4,79,690.2981170753704,0.0,True
4,224,624.6841169939236,0.0,True
5,84,2115.3457230181602,0.045293444279930546,True
5,204,1615.5546083323195,0.024609827818828495,True
5,99,1503.8618179367977,0.04436577587536258,True
6,118,1183.7101007844428,0.0,True
6,214,3838.916434441737,0.03517974386090299,True
6,115,258.65636400546816,0.0,True
6,221,1603.190529438158,0.01052467465128794,True
7,193,842.3876928837992,0.002744994711765565,True
7,226,284.3580843330822,0.010889118169441851,True
7,260,948.1406890155664,0.006541179206107234,True
7,146,857.1688183221431,0.01669033404981065,True
7,207,224.13907349101214,0.0,True
7,179,2294.199568314967,0.0,True
7,223,526.9048367236895,0.011478480724424188,True
8,179,102.83074205655598,0.015380633263791004,True
8,223,248.44331869514585,0.029351242574900467,True
9,121,0.0,0.0,False
9,98,1836.3431636664093,0.0,True
9,192,904.0909469839296,0.0,True
9,73,1283.5108266862806,0.0,True
9,16,3091.4549760071145,0.010176657434590855,True
9,171,2110.15206792197,0.00015176114856997123,True
10,219,1039.3435770798912,0.0,True
10,218,1737.624931878141,0.004382805275571217,True
10,216,1302.8405490677903,0.013954123726607448,True
10,205,929.7043061840918,0.008456597146415567,True
10,215,1972.8310578226883,0.004544367900257284,True
11,67,969.9295464770793,0.010969484396772628,True
11,14,0.635754538796321,0.0,False
11,22,2530.202777033192,0.02129645717712395,True
12,88,406.53156280173135,0.0004055752417773113,True
12,261,113.9515770493093,0.00014471471322151982,True
12,13,110.89071208986127,0.0,True
13,261,467.41318884323897,0.0023786646132897254,True
13,231,76.14016116851333,0.002438316517456222,True
14,67,3176.3481708083764,0.012628016685654065,True
14,227,335.2536093550132,0.0,True
14,228,1805.1953002137618,0.01458889349236977,True
15,16,2028.2584456097848,0.007661372342699457,True
15,171,753.0451962982848,0.001306750396802438,True
15,252,2216.575363461333,0.001245853542439338,True
16,98,318.60061413234786,0.011581954108403843,True
16,175,2061.507922818477,0.01937299095647133,True
16,64,1049.5796758294669,0.0037942383264709463,True
16,171,360.14048395047394,0.0,True
17,61,1105.8064769340851,0.0,True
17,49,3217.105106978092,0.0,True
17,217,1548.561076854823,0.0,True
17,80,461.5793257250349,0.0020532557537881117,True
17,225,1992.645909530522,0.002754960426742736,True
17,37,373.3999894868901,0.0035271211099090977,True
18,94,1644.585824685995,0.0,True
18,136,608.7332370069572,0.0,True
18,20,622.6218748979329,0.0,True
18,174,1524.6030624202247,0.0,True
18,241,1674.832861963731,0.0,True
19,191,1801.6103342734216,0.01887635618018532,True
19,175,656.84362689947,0.0,True
19,101,2811.3147595796277,0.027801323666694588,True
19,64,1237.084676136114,0.00030744387023577685,True
20,47,823.0707109074874,0.0,True
20,94,32.82647327637077,0.0,True
20,78,864.3654072253859,0.0,True
20,31,2166.759234607127,0.00019543611233194467,True
20,174,86.64133848313985,0.0,True
21,123,1401.2183528667042,0.0,True
21,178,530.2402569928826,0.0,True
21,108,2856.799767716014,0.003007341369787713,True
21,22,3389.293307567631,0.0,True
21,26,524.2679763245043,0.0,True
22,67,1880.96851602051,0.0,True
22,26,2207.744147992166,0.0,True
23,99,2860.067323556308,0.0294057357086172,True
23,118,4199.964103940595,0.027211380085330653,True
23,251,2060.923197170234,0.0,True
23,187,488.6056356728386,0.0,True
23,156,3683.152973520986,0.02580040641161568,True
24,43,323.40638704270805,0.0,True
24,151,1233.13014706861,0.0,True
24,41,139.97971309362583,0.0,True
24,166,1056.851124734377,0.0003793555975240669,True
25,181,691.2098266902267,0.0,True
25,106,600.2044647883165,0.0,True
25,40,807.9828941286734,0.0,True
25,52,622.2434171062497,0.0,True
25,97,459.75171930546776,0.008445065451175031,True
25,65,506.65014283539557,0.0,True
25,33,522.9584027897134,0.0,True
26,67,1198.6780580005484,0.0,True
26,178,2425.8071584864856,0.0,True
26,89,646.8202845909527,0.0,True
26,133,2288.6818145916177,0.0,True
26,111,77.5577442993885,0.0,True
26,227,2276.0827380721316,0.00262201968918636,True
27,201,724.6927242413717,0.01892943408659501,True
28,197,0.0,0.0,False
28,130,2811.7824020050557,0.013177825492747354,True
28,134,1281.8309653203125,0.017035332125052295,True
28,93,511.5830137662517,0.0,True
28,131,1018.4384273933744,0.0,True
28,121,718.7337201456938,0.017554593781929435,True
28,135,929.1575537116104,0.0,True
29,150,1603.6877177491463,0.0,True
29,210,218.49444039607047,3.813397846442981e-05,True
29,123,592.913642623998,0.010405361392353969,True
29,55,1624.4377346889025,0.003297230871201269,True
29,108,735.8691824896745,0.0,True
31,78,1214.7543127220822,0.0038165069363547584,True
31,242,66.04406703252114,0.004563784384851113,True
31,185,684.2068979635169,0.0,True
31,32,1655.4058460106746,0.001979741737542495,True
31,174,1264.143658642218,0.0,True
31,254,703.4205496446136,0.0,True
31,240,78.43898750209225,0.0,True
32,185,208.18470159450322,0.0005419204612599269,True
32,254,616.0646432623098,0.00015182361957031702,True
33,54,470.9939703941906,0.0,True
33,52,486.5140239853049,0.0,True
33,65,928.5927723195027,0.003078652206040011,True
33,66,331.7240025790796,0.0,True
34,49,682.051367986628,0.0,True
34,217,1169.377741214348,0.0,True
34,256,81.80230666608244,0.0,True
34,97,827.8102803038279,0.006112684433422817,True
34,66,495.1940199682745,0.008990839849954179,True
35,61,248.13777934116192,0.0022163143585643224,True
35,72,2549.2018476103485,0.0,True
35,177,1798.1422947896835,0.001964623087804184,True
35,76,929.0712378272034,0.008872031701763445,True
35,77,2226.6753063710667,0.0,True
36,80,847.814120052616,0.0027711388989010823,True
36,37,3699.451137307208,0.006513805456444909,True
36,96,89.27857247494391,0.0,True
36,198,2374.324209584536,0.015263203399204605,True
37,80,2337.8699900911574,0.015555784430621862,True
37,177,1405.5360903909025,0.0018598607321455318,True
37,225,2623.2473271357144,0.0,True
37,63,962.7665025290506,0.0,True
37,96,318.5900765167828,0.027129362677019295,True
38,203,103.15246605076678,0.00023129500693432967,True
38,139,1632.5081983692257,0.0013694494184582269,True
38,205,1063.2377406813278,0.0,True
38,191,2137.2601919641193,0.0005531956362402526,True
39,155,128.6926827847863,0.0,True
39,91,1169.5247035486861,0.0,True
39,72,1381.9846065698848,0.0,True
39,222,270.839688217003,0.0,True
39,76,1705.7888015718645,0.004694037004910547,True
40,106,1543.0673785575882,0.0,True
40,228,0.0,0.0,False
40,195,720.344605488942,0.003915202927114505,True
40,54,413.3618380138856,0.0,True
40,52,1045.4422883502148,0.0,True
41,43,859.260764791856,0.0,True
41,75,155.66520562050493,0.0,True
41,74,1354.5241806245554,0.0018097614627835493,True
41,166,1100.087043441624,0.008867390259768205,True
41,152,0.0,0.0,False
41,42,996.7219943276274,0.0,True
42,74,2175.2477284001184,0.001670059235222595,True
42,166,0.0,0.0,False
42,152,1212.9324566506612,0.0,True
42,116,998.2572066624191,0.0068880131220443825,True
42,120,178.39880150251867,0.029226297199997562,True
43,237,1447.9392333209619,0.0,True
43,163,808.0229347823671,0.0,True
43,142,1209.2432939351127,0.0008613216547032522,True
43,239,817.9871182422416,0.0061794345084724926,True
43,238,897.7019604386761,0.0,True
43,236,1387.9833971749351,0.00443978678537843,True
43,75,977.4081396847278,0.004498744751254095,True
43,151,720.6480803712415,0.0,True
44,84,1452.35766415644,0.022851339081272452,True
44,204,1744.273745875698,0.06823328217081989,True
44,99,152.5431789704514,0.0,True
45,232,510.163612029174,0.0,True
45,148,688.9351518620897,0.0,True
45,209,342.8090777241332,0.01221983933914695,True
45,231,715.2164252353136,0.0035013674610840204,True
45,144,388.6688833829203,0.0,True
47,167,1114.191444954336,0.0,True
47,69,1375.3501104863592,0.0,True
47,59,1004.841608233312,0.0015119410740444693,True
47,169,1369.737570005014,0.007451120097547251,True
47,94,867.6538646163319,0.0,True
47,78,1236.9427072963003,0.003348129980697094,True
48,68,548.4942287435595,0.0,True
48,246,306.8514893651463,0.0004643497376692297,True
48,100,320.77547450443797,0.0,True
48,230,396.9799883727409,0.004446604312330338,True
48,163,331.0334797533794,0.0,True
48,50,972.5770945027996,0.005871480177648338,True
48,142,549.8526168428783,0.0,True
48,143,0.0,0.0,False
49,61,848.8351842315786,0.0,True
49,189,643.9588830103892,0.0,True
49,217,154.5037147061844,0.0,True
49,97,1518.3698959991934,7.33460737876613e-05,True
50,246,603.509740390431,0.0005038122048513052,True
50,142,0.0,0.0,False
50,143,660.2482500739331,0.0,True
51,184,3090.9773626766573,0.016054953947683966,True
51,81,3682.7640875152133,0.02677843232454244,True
52,54,236.94835664779558,0.0,True
53,138,0.0,0.0,False
53,92,1495.3563612880027,0.0076822395731400836,True
53,252,3070.008651970852,0.00024641554170348203,True
54,195,1143.008729933528,0.007225295441656441,True
55,108,1735.2516738378124,0.014212079726078347,True
56,95,1020.8954497882467,0.0,True
56,196,226.47179017711312,0.0,True
56,82,1103.6036804741148,0.0011713945207981144,True
56,93,804.6622739311516,0.009833094127283918,True
56,173,1230.3180087318317,0.0,True
56,57,0.0,0.0,False
57,93,754.8826039640985,0.0,True
57,173,742.3175874450798,0.0,True
58,208,1985.8094019734986,0.0,True
58,184,917.8285138900969,0.01624879523009018,True
59,60,1116.7072801028028,0.0016929559304921754,True
59,167,250.06496521500998,0.00721548141736869,True
59,78,255.26441262382158,0.015615544319436996,True
60,126,341.192609539321,0.021571752795468996,True
60,213,0.0,0.0,False
60,212,600.7836825500298,0.0,True
60,248,1508.4125922992243,0.011152160146659833,True
60,167,1264.7219819790869,0.00967785239087796,True
60,78,1203.701949561742,0.005660131979059709,True
60,242,69.78423558878394,0.0,True
61,62,3203.648543027589,0.0,True
61,189,1242.5686642084102,0.0,True
61,72,98.33787765299412,0.00625391191318114,True
61,177,1310.6593540235992,0.0,True
61,225,2502.049691597741,0.0,True
62,188,2727.036977790718,0.0,True
62,190,945.8785395115664,0.0,True
62,189,112.51746137471287,0.0,True
62,72,192.3291688926357,0.0,True
63,177,305.4981898034878,0.0,True
63,76,3289.3716187751934,0.03950799733575722,True
63,124,78.3679138110535,0.0,True
63,180,499.19244819728766,0.0,True
63,258,1454.193847144574,0.013957989105448694,True
63,96,1626.5273815290077,0.001152948220089591,True
64,175,3351.6760049815775,0.037508127934010156,True
64,101,1629.631015738576,0.0002995317990663097,True
65,97,1243.307231945418,0.0005456640944591494,True
65,66,593.5938524735938,0.002044994047952872,True
66,97,88.91366017835135,0.0,True
67,227,891.2231685528426,0.0,True
68,90,541.4387364453237,0.014942621467062597,True
68,249,0.0,0.0,False
68,158,60.0601149964032,0.0,True
68,246,951.8164734322548,0.025218329453300367,True
68,186,476.5144495300341,0.005778515505901451,True
68,100,319.4227286478287,0.0,True
69,168,189.82570831169227,0.0,True
69,159,963.0103037346987,0.0,True
69,167,1392.2456075037228,0.0,True
69,247,2432.9873131837317,0.01831586989125268,True
69,169,632.3803988442336,0.0,True
70,93,647.5472310637416,0.0,True
70,173,1541.383626024324,0.00018309371467343868,True
70,129,1909.4067590196676,0.0,True
70,138,977.5944252223513,0.02733705786911665,True
71,89,1019.7320747396213,0.0,True
71,85,1966.8385620309177,0.006481590772843086,True
71,188,1214.398944835718,0.0,True
71,91,1458.2870110839933,0.0,True
71,72,1447.173318710902,0.019296579059710026,True
72,188,1474.0791591899547,0.0,True
72,91,1110.8138956890837,0.0,True
72,76,98.69592010977561,0.0,True
73,192,916.8047400629207,0.03231235166326139,True
73,92,1815.0280963122227,0.0,True
73,171,2286.1726199284067,0.0,True
74,194,13.9808464080985,9.772816189398022e-05,True
74,75,1410.9631986196541,0.0,True
75,262,112.73983206158934,0.0,True
75,263,445.01047182292837,0.0,True
75,236,468.32907659417685,0.001280143325260408,True
76,177,0.0,0.0,False
76,222,2133.3084958407267,0.01164269599542027,True
76,124,2714.3462439420605,0.011645213832376104,True
76,77,3416.085015005204,0.020149327562162724,True
