block_days,role,confidence_level,candidate,reference,delta_mae,delta_mae_low,delta_mae_high,relative_reduction_pct,relative_reduction_pct_low,relative_reduction_pct_high
7,primary,0.95,hist_gradient_boosting,previous_week_168h,-1.4112785562414798,-1.7231691122972852,-1.0871552258086459,27.64920697758987,22.631138902668702,31.925776065566982
7,primary,0.95,hist_gradient_boosting_poisson,hist_gradient_boosting,0.05897772714657634,0.032090036145374215,0.07834933259485986,-1.5970358790950545,-2.107975326010185,-0.8718322271591887
7,primary,0.95,hist_gradient_boosting_absolute,hist_gradient_boosting,0.3213980226464992,0.22708000171546727,0.437074850106573,-8.703017197678786,-11.812797677057437,-6.167727795095651
1,sensitivity,0.95,hist_gradient_boosting,previous_week_168h,-1.4112785562414798,-1.759175296492408,-1.1166215768112264,27.64920697758987,23.333639377976965,32.11270552284836
1,sensitivity,0.95,hist_gradient_boosting_poisson,hist_gradient_boosting,0.05897772714657634,0.03384565728270896,0.07963789001423083,-1.5970358790950545,-2.1532121991375313,-0.9168944739686296
1,sensitivity,0.95,hist_gradient_boosting_absolute,hist_gradient_boosting,0.3213980226464992,0.23540120023154748,0.4330913593528085,-8.703017197678786,-11.606042184482048,-6.434476737620434
14,sensitivity,0.95,hist_gradient_boosting,previous_week_168h,-1.4112785562414798,-1.704103221910859,-1.1308024556773255,27.64920697758987,23.343799217653945,31.707881840439306
14,sensitivity,0.95,hist_gradient_boosting_poisson,hist_gradient_boosting,0.05897772714657634,0.03974350975013439,0.07813809670202995,-1.5970358790950545,-2.0936513909228864,-1.0879729494306507
14,sensitivity,0.95,hist_gradient_boosting_absolute,hist_gradient_boosting,0.3213980226464992,0.23327746590090048,0.41506683354179924,-8.703017197678786,-11.204228031055449,-6.3221176244582225
