block_days,role,confidence_level,candidate,reference,delta_mae,delta_mae_low,delta_mae_high,relative_reduction_pct,relative_reduction_pct_low,relative_reduction_pct_high,delta_mae_family_low,delta_mae_family_high,family_method,family_metric,family_size,family_confidence_level,per_contrast_confidence_level
7,primary,0.95,borough_static,hist_gradient_boosting,-0.0029205479360183695,-0.006557073356332409,0.0007302000301022231,0.07902449481375085,-0.019579116902228542,0.17941679478720662,-0.0073559012936068365,0.0012933574961884432,bonferroni,delta_mae,3,0.95,0.9833333333333333
7,primary,0.95,borough_context,hist_gradient_boosting,-0.015365526274380592,-0.024255186339771563,-0.007328842573159078,0.41576203437896364,0.1963018251816451,0.658884773393375,-0.026429505106362505,-0.006036442376704978,bonferroni,delta_mae,3,0.95,0.9833333333333333
7,primary,0.95,borough_context,borough_static,-0.012444978338362223,-0.021483192847412347,-0.004435272064614541,0.3370038551592569,0.11939530798962932,0.5833621324562929,-0.023611219830776527,-0.0029511612346378654,bonferroni,delta_mae,3,0.95,0.9833333333333333
1,sensitivity,0.95,borough_static,hist_gradient_boosting,-0.0029205479360183695,-0.006378756457714274,0.0006300380077567168,0.07902449481375085,-0.01718863405269387,0.17219855456278818,-0.007138907482831558,0.0013658913040627176,bonferroni,delta_mae,3,0.95,0.9833333333333333
1,sensitivity,0.95,borough_context,hist_gradient_boosting,-0.015365526274380592,-0.025813158954090074,-0.005304884937611294,0.41576203437896364,0.14306996293691232,0.6975342147827464,-0.028111403557968137,-0.003123729121628539,bonferroni,delta_mae,3,0.95,0.9833333333333333
1,sensitivity,0.95,borough_context,borough_static,-0.012444978338362223,-0.02260061560817039,-0.0030810424768368946,0.3370038551592569,0.08341701335468531,0.6109777745080532,-0.02519675304019765,-0.0010608711861995544,bonferroni,delta_mae,3,0.95,0.9833333333333333
14,sensitivity,0.95,borough_static,hist_gradient_boosting,-0.0029205479360183695,-0.005270301999371906,-0.0006548376390839838,0.07902449481375085,0.017530964227817636,0.14447695265824478,-0.005684532159756782,-0.00013438604663974424,bonferroni,delta_mae,3,0.95,0.9833333333333333
14,sensitivity,0.95,borough_context,hist_gradient_boosting,-0.015365526274380592,-0.02279017977056534,-0.007934333037428944,0.41576203437896364,0.21233393788668203,0.621132463327754,-0.023953543374214424,-0.006766158714610592,bonferroni,delta_mae,3,0.95,0.9833333333333333
14,sensitivity,0.95,borough_context,borough_static,-0.012444978338362223,-0.01950488413384426,-0.005196926977817477,0.3370038551592569,0.14019618239371762,0.5308209538123643,-0.020633703372427824,-0.004014224905505659,bonferroni,delta_mae,3,0.95,0.9833333333333333
