block_days,role,confidence_level,candidate,reference,delta_mae,delta_mae_low,delta_mae_high,relative_reduction_pct,relative_reduction_pct_low,relative_reduction_pct_high,delta_mae_family_low,delta_mae_family_high,family_method,family_metric,family_size,family_confidence_level,per_contrast_confidence_level
7,primary,0.95,xgboost_depth4,hist_gradient_boosting,0.15992216150899985,0.14494733890355024,0.17463134914844367,-4.327190753116117,-4.706340626879882,-3.951144878703138,0.14276829026377733,0.17663447444755687,bonferroni,delta_mae,2,0.95,0.975
7,primary,0.95,xgboost_depth6,hist_gradient_boosting,-0.028243542435295588,-0.04044739604048476,-0.016074347240561712,0.7642167571276559,0.4300147934065846,1.102886222424213,-0.04212831443799979,-0.014220501362276238,bonferroni,delta_mae,2,0.95,0.975
1,sensitivity,0.95,xgboost_depth4,hist_gradient_boosting,0.15992216150899985,0.14771910824681722,0.17278843372898794,-4.327190753116117,-4.664414969193632,-3.9987164978400016,0.14597306242158956,0.17462420545537574,bonferroni,delta_mae,2,0.95,0.975
1,sensitivity,0.95,xgboost_depth6,hist_gradient_boosting,-0.028243542435295588,-0.041146159963354474,-0.01711013135774574,0.7642167571276559,0.46236652319076144,1.118754988653522,-0.043261382162501444,-0.015790301755991706,bonferroni,delta_mae,2,0.95,0.975
14,sensitivity,0.95,xgboost_depth4,hist_gradient_boosting,0.15992216150899985,0.1457224697969627,0.1742090369266278,-4.327190753116117,-4.679463843628755,-3.9717113523493173,0.14383452076095493,0.1759204000484179,bonferroni,delta_mae,2,0.95,0.975
14,sensitivity,0.95,xgboost_depth6,hist_gradient_boosting,-0.028243542435295588,-0.038617173034865525,-0.017430972851433853,0.7642167571276559,0.4646276519123305,1.0596671132924518,-0.03989787730248863,-0.016135087187245167,bonferroni,delta_mae,2,0.95,0.975
